State,Year,Price ($/MWh)
NJ,2021,43.12
NJ,2022,48.086
NJ,2023,
NJ,2024,
NM,2015,49.98589285714286
NM,2016,41.1525
NM,2017,33.92666666666667
NM,2018,44.60739130434782
NM,2019,33.87138888888889
NM,2020,23.47
NM,2021,22.975
NM,2022,28.675624999999997
NM,2023,28.528
NM,2024,26.796666666666667
NV,2015,47.28928571428571
NV,2016,41.1525
NV,2017,33.92666666666667
NV,2018,24.66478260869565
NV,2019,22.132777777777775
NV,2020,23.47
NV,2021,20.53
NV,2022,28.02125
NV,2023,28.528
NV,2024,26.796666666666667
NY,2015,
NY,2016,92.1525
NY,2017,
NY,2018,75.356
NY,2019,59.945
NY,2020,122.5
NY,2021,
NY,2022,
NY,2023,64.483
NY,2024,78.23157894736842
OH,2015,75.07
OH,2016,50.153333333333336
OH,2017,90.225
OH,2018,34.21666666666667
OH,2019,31.203333333333333
OH,2020,32.08857142857143
OH,2021,43.12
OH,2022,48.086
OH,2023,
OH,2024,
OK,2015,52.6825
OK,2016,
OK,2017,
OK,2018,64.55
OK,2019,45.61
OK,2020,
OK,2021,25.42
OK,2022,29.33
OK,2023,
OK,2024,
OR,2015,47.28928571428571
OR,2016,41.1525
OR,2017,33.92666666666667
OR,2018,24.66478260869565
OR,2019,22.132777777777775
OR,2020,23.47
OR,2021,20.53
OR,2022,28.02125
OR,2023,28.528
OR,2024,26.796666666666667
PA,2015,75.07
PA,2016,50.153333333333336
PA,2017,90.225
PA,2018,34.21666666666667
PA,2019,31.203333333333333
PA,2020,32.08857142857143
PA,2021,43.12
PA,2022,48.086
PA,2023,
PA,2024,
RI,2015,
RI,2016,
RI,2017,82.18875
RI,2018,
RI,2019,45.04
RI,2020,44.66
RI,2021,
RI,2022,62.06
RI,2023,
RI,2024,
SC,2015,60.7525
SC,2016,51.52
SC,2017,36.152
SC,2018,28.674
SC,2019,25.12555555555555
SC,2020,27.4775
SC,2021,27.045
SC,2022,31.01
SC,2023,46.27
SC,2024,
SD,2015,56.3
SD,2016,
SD,2017,33.553333333333335
SD,2018,52.657777777777774
SD,2019,43.309
SD,2020,32.802
SD,2021,29.088
SD,2022,43.7
SD,2023,47.09
SD,2024,48.63
TN,2015,67.91125
TN,2016,50.83666666666667
TN,2017,63.1885
TN,2018,31.445333333333334
TN,2019,28.16444444444444
TN,2020,29.783035714285713
TN,2021,35.082499999999996
TN,2022,39.548
TN,2023,46.27
TN,2024,
TX,2015,51.339999999999996
TX,2016,36.79
TX,2017,32.13166666666667
TX,2018,46.04851851851851
TX,2019,43.309
TX,2020,32.802
TX,2021,29.088
TX,2022,43.7
TX,2023,47.09
TX,2024,48.63
UT,2015,47.28928571428571
UT,2016,41.1525
UT,2017,33.92666666666667
UT,2018,24.66478260869565
