Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2023,SC,NG,natural gas,,23691.4439,,195.03298,746.2,18.1,31.49660287273584,8232.21162978589,41.44694224884427,53,763.988893053496,0.04122651933701657
2023,CO,TSN,estimated total solar,,5319.19833,,,,,28.528,,,0,,0.0
2023,NY,PET,petroleum,,413.01517,0.36,5.0128,68.8,93.3,166.57983773332103,12137.084456244065,28.112187999521225,73,225899.6927400996,0.0007374062165058949
2023,NY,NUC,nuclear,,27524.923,,287.68367,185.2,,6.7284475237224095,10451.752035782261,32.64524443671064,0,,0.0
2023,OK,WNT,onshore wind turbine,,37012.334,,126.28608,,,,3411.999902518982,100.0000028570053,0,,0.0
2023,OK,NG,natural gas,,45212.91499,,382.27799,1096.6,44.8,24.25413181703815,8455.061791184016,40.354524712730644,53,990.8673220894667,0.02447767857142857
2023,IA,WNT,onshore wind turbine,,41439.49501,,141.39176,,,33.0,3412.0048993328696,99.9998564089732,0,,0.0
2023,NH,NUC,nuclear,,9534.781,,99.65517,58.6,,6.145919869580644,10451.752379000629,32.64524336469448,0,,0.0
2023,MI,WNT,onshore wind turbine,,8292.415,,28.29372,,,33.0,3412.000002411842,99.99999992931295,0,,0.0
2023,AR,COW,all coal products,4.7,16844.43645,0.22,178.45679,387.6,17.3,23.01056501062106,10594.405489890996,32.20567688536816,95,1027.0453423213219,0.022404624277456646
2023,KS,COW,all coal products,5.22,16290.68363,0.28,182.05702,308.7,17.7,18.949481004683904,11175.529777322183,30.530991084859018,95,1086.5105726689508,0.017440677966101693
2023,MO,NUC,nuclear,,9179.744,,95.94441,67.5,,7.353146231528896,10451.752249300198,32.64524376980379,0,,0.0
2023,IN,TSN,estimated total solar,,2203.21296,,,,,47.09,,,0,,0.0
2022,TN,TSN,estimated total solar,,751.55145,,,,,39.548,,,0,,0.0
2022,TN,COW,all coal products,8.04,15885.53977,1.74,190.96541,618.3,19.6,38.92219017748869,12021.335929713894,28.38286875892341,95,1233.826504089889,0.03154591836734693
2022,UT,NG,natural gas,,11107.08691,,89.05552,685.4,15.1,61.70834941274444,8017.900708044428,42.55477991360895,53,1359.4923783665613,0.045390728476821185
2022,OH,PET,petroleum,,1272.60495,,23.32457,141.8,70.4,111.42499485013003,18328.209394439335,18.616112062944783,73,55319.60252079799,0.002014204545454545
2022,PA,TSN,estimated total solar,,1046.53604,,,,,48.086,,,0,,0.0
2022,OK,PET,petroleum,,28.5796,,0.33069,7.6,36.4,265.9239457515151,11570.840739548488,29.48791774773958,73,1273635.7401783091,0.00020879120879120877
2022,NH,PET,petroleum,,445.35174,0.48,4.34367,79.6,10.3,178.73512742983783,9753.346871396529,34.98286326723715,73,23127.786589539315,0.007728155339805826
2022,NH,NG,natural gas,,4501.92276,,33.47054,291.2,3.2,64.6834731567007,7434.721070158918,45.892777520530004,53,710.8073973263814,0.09099999999999998
2022,UT,WNT,onshore wind turbine,,723.439,,2.46838,,,29.55555555555556,3412.0084761811295,99.99975157795801,0,,0.0
