Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2022,NC,WNT,onshore wind turbine,,546.755,,1.86553,,,3412.0035482071494,99.99989600810494,0,0.0,0.0
2022,NC,TSN,estimated total solar,,11858.41022,,,39.548,,,,0,,0.0
2022,NC,PET,petroleum,,277.75199,,3.77869,,74.2,13604.546991724525,25.079850156535727,73,993.1319303958903,0.0
2022,ME,WNT,onshore wind turbine,,2716.384,,9.26829,,,3411.99550579005,100.00013171793287,0,0.0,0.0
2022,MD,WNT,onshore wind turbine,,497.608,,1.69784,,,3412.003022459446,99.99991141685906,0,0.0,0.0
2022,MD,TSN,estimated total solar,,1996.37016,,,48.086,,,,0,,0.0
2022,MD,PET,petroleum,,142.8643,,1.92654,,48.4,13485.104396269748,25.301991736480943,73,984.4126209276916,0.0
2022,MD,COW,all coal products,12.38,4639.31405,2.27,52.48991,,163.7,11314.153220560698,30.1569188032519,95,1074.8445559532665,0.0
2022,ND,WNT,onshore wind turbine,,16249.888,,55.44463,28.0,,3412.0007473282276,99.9999780970673,0,0.0,inf
2022,ND,COW,all coal products,9.79,24831.18527,0.73,288.99473,,474.1,11638.378388209736,29.31679900918609,95,1105.645946879925,0.0
2022,NY,WNT,onshore wind turbine,,4567.508,,15.58434,,,3412.0005920077206,99.99998264924919,0,0.0,0.0
2022,OH,NG,natural gas,,68864.96911,,524.31167,,3075.4,7613.619475563866,44.81442776265499,53,403.52183220488496,0.0
2022,DE,COW,all coal products,7.45,104.74978,2.17,1.84569,,5.8,17619.989273485826,19.36437047174769,95,1673.8989809811535,0.0
2022,CO,NG,natural gas,,15445.52673,,142.28214,,955.5,9211.86713067182,37.03917948012309,53,488.22895792560644,0.0
2022,MO,NUC,nuclear,,8874.76949,,92.72021,,64.6,10447.618961199634,32.65815888454092,0,0.0,0.0
2022,IA,WNT,onshore wind turbine,,45761.36955,,156.1378,28.0,,3412.000155052177,99.99999545568083,0,0.0,inf
2022,MT,WNT,onshore wind turbine,,4021.86,,13.72259,28.51851851851852,,3412.0009149995276,99.99997318290498,0,0.0,inf
2022,VA,TSN,estimated total solar,,5015.07162,,,48.086,,,,0,,0.0
2022,NE,NUC,nuclear,,5618.504,,58.69999,,37.7,10447.619152713962,32.65815828588727,0,0.0,0.0
2022,NH,NUC,nuclear,,10921.528,,114.10396,,67.1,10447.618684858016,32.6581597483558,0,0.0,0.0
2022,MT,PET,petroleum,,464.87867,,7.47191,,41.4,16072.817451486857,21.228387681864476,73,1173.3156739585406,0.0
2022,MT,COW,all coal products,9.12,11651.07251,0.7,128.26228,,269.5,11008.624303892519,30.99388175862771,95,1045.8193088697892,0.0
2022,MA,TSN,estimated total solar,,5353.15349,,,62.06,,,,0,,0.0
2022,WV,TSN,estimated total solar,,33.2145,,,48.086,,,,0,,0.0
2022,ME,PET,petroleum,,274.26939,0.45,3.71228,,68.6,13535.159720156887,25.20842066546704,73,988.0666595714526,0.0
2022,MD,NG,natural gas,,13949.64162,,106.62797,,833.7,7643.7784499871605,44.63760981986247,53,405.12025784931956,0.0
2022,NM,COW,all coal products,20.47,13291.99638,0.79,136.55173,,399.8,10273.22955078927,33.21253538754873,95,975.9568073249806,0.0
2022,NJ,NG,natural gas,,33394.32334,,269.05927,,1813.6,8057.036139364397,42.3480786356404,53,427.02291538631306,0.0
2022,CT,PET,petroleum,,314.36881,0.28,4.01405,,79.8,12768.601312579323,26.721799173403422,73,932.1078958182907,0.0
2022,LA,COW,all coal products,4.95,8172.86284,0.37,91.93676,,244.2,11249.027641824465,30.331510497085173,95,1068.6576259733242,0.0
2022,MI,NG,natural gas,,41183.78402,,367.39778,,2203.4,8920.933050289439,38.247120349023334,53,472.80945166534025,0.0
2022,FL,PET,petroleum,0.28,1319.16485,4.54,15.5539,,198.0,11790.717437627301,28.93801855611775,73,860.7223729467929,0.0
2022,FL,COW,all coal products,8.51,15531.57239,2.68,169.69883,,608.2,10926.056019238631,31.22810274807433,95,1037.9753218276699,0.0
2022,LA,PET,petroleum,0.52,3106.6338,5.67,35.16372,,185.7,11318.913738722598,30.144235381239533,73,826.2807029267498,0.0
2022,TX,TSN,estimated total solar,,25437.07827,,,43.7,,,,0,,0.0
2022,NM,WNT,onshore wind turbine,,14434.55068,,49.2507,29.27777777777778,,3412.000906148053,99.99997344232672,0,0.0,inf
