Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $)
2021,DE,WNT,onshore wind turbine,0.0,4.849,0.0,0.04288,18.0,
2021,OK,WNT,onshore wind turbine,0.0,32540.31215,0.0,287.78653,17.0,
2021,AR,NG,natural gas,0.0,20629.13354,0.0,165.20441,,1072.9
2021,MN,PET,petroleum,0.0,105.13068,0.0,1.33679,,18.7
2021,NJ,PET,petroleum,0.0,36.98351,0.0,0.42193,,3.4
2021,NJ,NG,natural gas,0.0,29542.81514,0.0,237.35384,,829.3
2021,HI,TSN,estimated total solar,,1758.03099,,,,
2021,CT,PET,petroleum,0.0,45.94954,0.3,1.03783,,9.4
2021,CT,NUC,nuclear,0.0,17216.509,0.0,179.55292,,131.1
2021,CO,WNT,onshore wind turbine,0.0,15125.697,0.0,133.77166,29.666666666666668,
2021,CO,PET,petroleum,0.0,27.80917,0.0,0.36978,,7.0
2021,CT,COW,all coal products,0.0,244.64713,0.0,2.87962,,11.5
2021,LA,NUC,nuclear,0.0,17248.674,0.0,179.88837,,96.3
2021,LA,COW,all coal products,6.06,7872.9514,0.53,91.48142,,468.5
2021,RI,WNT,onshore wind turbine,0.0,87.952,0.0,0.77784,,
2021,MT,COW,all coal products,9.17,10876.45398,0.65,120.12108,,273.7
2021,IA,WNT,onshore wind turbine,0.0,37098.274,0.0,328.09712,22.166666666666664,
2021,NJ,NUC,nuclear,0.0,28142.099,0.0,293.49713,,203.1
2021,TX,COW,all coal products,8.18,88818.13948,0.51,962.42605,,2081.8
2021,WA,NUC,nuclear,0.0,8511.288,0.0,88.76519,,54.3
2021,AZ,WNT,onshore wind turbine,0.0,1600.319,0.0,14.15322,29.666666666666668,
2021,CO,TSN,estimated total solar,,2786.11122,,,20.53,
2021,CO,COW,all coal products,6.19,23602.04163,0.32,248.96744,,398.7
2021,OK,NG,natural gas,0.0,33857.23754,0.0,285.84346,,3385.2
2021,WY,TSN,estimated total solar,,196.89137,,,20.53,
2021,WY,NG,natural gas,0.0,1500.7007,0.0,20.00416,,48.8
2021,OH,NG,natural gas,0.0,56380.78218,0.0,431.29116,,1516.1
2021,ND,TSN,estimated total solar,,1.22855,,,29.088,
2021,PA,COW,all coal products,18.03,29297.30847,2.7,322.81746,,923.5
2021,MI,WNT,onshore wind turbine,0.0,7696.887,0.0,68.07127,22.666666666666664,
2021,MI,COW,all coal products,5.09,37053.90287,0.56,392.29827,,804.1
2021,ID,TSN,estimated total solar,,684.10626,,,20.53,
2021,ID,NG,natural gas,0.0,4935.45448,0.0,46.10791,,160.7
2021,CT,WNT,onshore wind turbine,0.0,12.758,0.0,0.11283,,
2021,KY,PET,petroleum,0.0,66.08994,0.0,0.9208,,14.3
2021,OK,TSN,estimated total solar,,128.19206,,,25.42,
2021,AK,WNT,onshore wind turbine,0.0,132.212,0.0,1.16928,,
2021,KY,NG,natural gas,0.0,14571.97964,0.0,117.85437,,468.0
2021,KY,COW,all coal products,8.6,49862.72893,2.5,530.97407,,1000.8
2021,PA,NG,natural gas,0.0,126664.87788,0.0,910.08524,,2923.2
2021,CA,COW,all coal products,8.46,294.15381,0.37,14.38951,,0.0
2021,ME,TSN,estimated total solar,,293.14863,,,,
2021,MS,COW,all coal products,9.79,5530.68764,0.51,62.25442,,159.3
2021,WY,WNT,onshore wind turbine,0.0,8447.86,0.0,74.71287,29.666666666666668,
2021,MD,COW,all coal products,11.42,5173.97896,2.34,59.66669,,144.1
2021,ME,WNT,onshore wind turbine,0.0,2544.197,0.0,22.50088,,
2021,NE,NUC,nuclear,0.0,6880.622,0.0,71.75879,,43.9
2021,PA,PET,petroleum,0.0,124.0959,1.42,1.64867,,21.2
2021,MA,TSN,estimated total solar,,4120.1605,,,,
2021,ND,PET,petroleum,0.0,33.09492,0.0,0.39817,,6.3
2021,DE,COW,all coal products,8.03,276.72937,2.62,4.54157,,11.0
2021,MD,NG,natural gas,0.0,13977.17105,0.0,108.23847,,445.9
2021,VT,WNT,onshore wind turbine,0.0,338.188,0.0,2.99094,,
2021,IA,COW,all coal products,4.94,22106.5942,0.34,266.62582,,360.0
2021,MO,PET,petroleum,0.0,258.6941,0.0,3.49858,,43.3
2021,RI,PET,petroleum,0.0,12.5625,0.0,0.20387,,1.6
2021,IN,PET,petroleum,0.0,127.81222,0.0,1.62974,,24.4
2021,SD,PET,petroleum,0.0,38.19249,0.0,0.49074,,7.9
2021,MS,PET,petroleum,0.0,8.24655,0.0,0.13354,,1.1
2021,AZ,NUC,nuclear,0.0,31629.862,0.0,329.87141,,215.6
2021,AZ,NG,natural gas,0.0,48053.13267,0.0,371.02881,,1764.5
2021,WA,WNT,onshore wind turbine,0.0,9297.756,0.0,82.22935,29.666666666666668,
2021,WA,PET,petroleum,0.0,32.0241,0.0,1.38091,,2.1
2021,NM,TSN,estimated total solar,,2212.30215,,,22.975,
2021,MA,WNT,onshore wind turbine,0.0,208.62625,0.0,1.84509,,
2021,NC,TSN,estimated total solar,,10578.4964,,,35.082499999999996,
2021,NC,PET,petroleum,0.0,194.7418,0.0,3.05626,,32.7
2021,AL,NG,natural gas,0.0,54447.87499,0.0,445.80129,,1720.8
2021,HI,PET,petroleum,0.0,6155.20742,0.46,64.89564,,852.4
2021,MN,TSN,estimated total solar,,2076.74972,,,29.088,
2021,VT,PET,petroleum,0.0,2.88537,0.0,0.06078,,0.6
2021,UT,TSN,estimated total solar,,4136.50742,,,20.53,
2021,TX,NG,natural gas,0.0,233120.82483,0.0,2138.48218,,14914.8
2021,CO,NG,natural gas,0.0,14559.77311,0.0,132.83519,,943.3
2021,DE,TSN,estimated total solar,,195.92042,,,43.12,
2021,DE,NG,natural gas,0.0,3734.20289,0.0,38.22643,,86.2
2021,AR,NUC,nuclear,0.0,13555.684,0.0,141.37376,,75.2
2021,NC,WNT,onshore wind turbine,0.0,514.703,0.0,4.55203,18.0,
2021,NC,COW,all coal products,9.05,20404.63829,1.8,220.83087,,564.9
2021,MI,TSN,estimated total solar,,616.14562,,,37.938,
2021,WY,PET,petroleum,0.0,60.33173,0.0,0.6632,,11.3
2021,WY,COW,all coal products,6.64,32038.12828,0.41,371.34269,,593.4
2021,AZ,COW,all coal products,9.88,14300.57241,0.61,153.94833,,355.3
2021,AK,NG,natural gas,0.0,3085.39602,0.0,26.31326,,159.4
2021,VA,NUC,nuclear,0.0,28571.516,0.0,297.97557,,166.5
2021,PA,NUC,nuclear,0.0,75902.514,0.0,791.5959,,502.1
2021,GA,TSN,estimated total solar,,5240.62207,,,27.045,
2021,GA,PET,petroleum,0.0,179.03062,2.1,5.76659,,15.0
2021,VT,NG,natural gas,0.0,2.05353,0.0,0.11918,,0.0
