Year,State,fuelTypeDescription,Generation_MWh,Expenditure_USD,Price_per_MWh
2019,NM,petroleum,183601.22,76900000.0,418.84253274569744
2019,NY,natural gas,47612133.5,1154600000.0,24.250121032698523
2019,NY,nuclear,44865018.0,313100000.0,6.978711119652287
2019,OH,petroleum,844493.7999999999,41900000.0,49.615521155987174
2019,OR,all coal products,2569159.53,59600000.0,23.198248027828775
2019,OR,natural gas,20932334.15,334300000.0,15.970507522210562
2019,OR,petroleum,6623.280000000001,1000000.0,150.9825947264799
2019,PA,petroleum,185320.73,31100000.0,167.81716756673686
2019,RI,natural gas,7141025.510000001,170600000.0,23.89012611159262
2019,RI,petroleum,11033.13,1300000.0,117.82694484701985
2019,SC,all coal products,14861495.290000001,501100000.0,33.71800685070903
2019,SD,petroleum,13637.77,2700000.0,197.97958170580674
2019,TN,natural gas,16955153.099999998,338400000.0,19.958534022320332
2019,TN,petroleum,139600.37,22200000.0,159.02536648004588
2019,VA,nuclear,29497516.0,181800000.0,6.163230829334918
2019,WA,all coal products,7170101.62,180200000.0,25.132140316862063
2019,WA,natural gas,15728673.34,382200000.0,24.299570074229795
2019,WA,nuclear,8866499.0,63500000.0,7.161789563163544
2019,WI,petroleum,142827.59999999998,11600000.0,81.21679563333699
2019,WV,natural gas,2243353.6399999997,38500000.0,17.161806018243297
2019,WY,all coal products,35375828.18,617400000.0,17.45259494303661
2019,WY,petroleum,43729.68,6800000.0,155.500794883475
2020,AK,all coal products,721788.9400000001,39400000.0,54.58659424734327
2020,AK,petroleum,985801.96,68000000.0,68.97937188114335
2020,AL,natural gas,55224998.65,1005100000.0,18.200090983614718
2020,AL,nuclear,43550647.0,306000000.0,7.026302043227968
2020,AR,petroleum,44171.49,5200000.0,117.72299281731271
2020,AZ,all coal products,13747253.049999999,322000000.0,23.422861194804298
2020,CA,natural gas,92046685.08,2070600000.0,22.495106675491805
2020,CA,nuclear,16258698.0,110500000.0,6.796362168729624
2020,CA,petroleum,43915.340000000004,4900000.0,111.57832320095892
2020,CO,natural gas,18171337.759999998,436500000.0,24.021346461395588
2020,CO,petroleum,-188632.27000000002,1300000.0,
2020,CT,all coal products,-19081.63,200000.0,
2020,CT,natural gas,23536812.880000003,391500000.0,16.633517970169628
2020,CT,nuclear,15714855.0,101800000.0,6.477947139824071
2020,CT,petroleum,32586.9,4900000.0,150.36717208448792
2020,DC,natural gas,133536.07,0.0,0.0
2020,DC,petroleum,20.52,0.0,0.0
2020,DE,all coal products,102274.17,4700000.0,45.95490728499679
2020,DE,natural gas,4818093.8100000005,52000000.0,10.792649967103898
2020,DE,petroleum,8061.400000000001,1400000.0,173.66710496936014
2020,FL,all coal products,16597728.169999998,436300000.0,26.286730059153633
2020,FL,natural gas,189420462.37,4447900000.0,23.481623602585234
2020,FL,nuclear,29419352.0,167000000.0,5.676535635455193
2020,FL,petroleum,1702036.81,55300000.0,32.49048415116239
2020,GA,all coal products,13913934.520000001,393800000.0,28.30256240130703
2020,GA,petroleum,206521.43000000002,6500000.0,31.473731321732565
2020,HI,petroleum,6149205.340000001,581000000.0,94.4837532454234
2020,IA,all coal products,14146834.52,215500000.0,15.233089755544833
2020,IA,petroleum,111110.59,7300000.0,65.70030813444515
2020,ID,natural gas,4157098.4200000004,81700000.0,19.653131041338202
2020,IL,all coal products,31237857.45,502600000.0,16.089451743112427
