period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,OH,Ohio,121.2,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,OK,Oklahoma,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,OR,Oregon,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,PA,Pennsylvania,513.3,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,RI,Rhode Island,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,SC,South Carolina,350.5,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,SD,South Dakota,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,TN,Tennessee,237.8,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,TX,Texas,268.6,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,UT,Utah,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,VA,Virginia,178.7,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,VT,Vermont,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,WA,Washington,63.8,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,WI,Wisconsin,63.3,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,WV,West Virginia,0,Million dollars
2020,NUEGV,Nuclear fuel expenditures in the electric power sector,WY,Wyoming,0,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,AK,Alaska,68,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,AL,Alabama,.7,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,AR,Arkansas,5.2,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,AZ,Arizona,5.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,CA,California,4.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,CO,Colorado,1.3,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,CT,Connecticut,4.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,DC,District of Columbia,0,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,DE,Delaware,1.4,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,FL,Florida,55.3,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,GA,Georgia,6.5,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,HI,Hawaii,581,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,IA,Iowa,7.3,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,ID,Idaho,0,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,IL,Illinois,4.7,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,IN,Indiana,13.5,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,KS,Kansas,10.6,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,KY,Kentucky,10.8,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,LA,Louisiana,60.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MA,Massachusetts,3.4,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MD,Maryland,11.7,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,ME,Maine,4.5,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MI,Michigan,22.6,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MN,Minnesota,2.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MO,Missouri,9.7,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MS,Mississippi,.7,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,MT,Montana,13.5,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NC,North Carolina,14.1,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,ND,North Dakota,3.8,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NE,Nebraska,2.7,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NH,New Hampshire,3.8,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NJ,New Jersey,1.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NM,New Mexico,5.1,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NV,Nevada,1.1,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,NY,New York,21.4,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,OH,Ohio,33.1,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,OK,Oklahoma,2.5,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,OR,Oregon,.3,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,PA,Pennsylvania,9.6,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,RI,Rhode Island,.3,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,SC,South Carolina,7.6,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,SD,South Dakota,.9,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,TN,Tennessee,12.4,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,TX,Texas,5.6,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,UT,Utah,5.2,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,VA,Virginia,25.6,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,VT,Vermont,.3,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,WA,Washington,1.8,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,WI,Wisconsin,5.2,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,WV,West Virginia,18,Million dollars
2020,PAEIV,All petroleum products total expenditures in the electric power sector,WY,Wyoming,5.6,Million dollars
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",AK,Alaska,15.1,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",AL,Alabama,36.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",AR,Arkansas,21.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",AZ,Arizona,37.9,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",CA,California,184.7,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",CO,Colorado,29.9,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",CT,Connecticut,17.7,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",DC,District of Columbia,.9,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",DE,Delaware,7.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",FL,Florida,104.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",GA,Georgia,60.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",HI,Hawaii,13.4,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",IA,Iowa,25.2,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",ID,Idaho,12.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",IL,Illinois,69.9,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",IN,Indiana,44.7,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",KS,Kansas,23.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",KY,Kentucky,36.7,Million metric tons CO2  
